WY,jpe,status,Classification,hydro_type,hydro_type_grp,method,value_type,value
1996,338107,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,8.398820491737821e-4
1996,338107,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,283.96999999999997
1997,165069,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,2.0700434363811498e-4
1997,165069,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,34.17
1998,138316,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,0.0050322450041932944
1998,138316,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,696.0399999999997
1999,454792,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,0.002575726925715491
1999,454792,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,1171.4199999999996
2000,289724,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,Genetic,pct_total_loss,0.001944471289917301
2000,289724,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,Genetic,total_loss,563.3600000000001
2001,370221,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,0.03793434192009633
2001,370221,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,14044.089999999982
2002,1864802,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,3.5610751168220527e-4
2002,1864802,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,664.0699999999997
2003,2136747,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,Genetic,pct_total_loss,0.001229738476291297
2003,2136747,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,Genetic,total_loss,2627.64
2004,1896649,"Pre-2009 BiOp
(1994 to 2008)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,0.0016059112677147952
2004,1896649,"Pre-2009 BiOp
(1994 to 2008)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,total_loss,3045.8499999999985
2006,3831286,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,3.325619648337396e-4
2006,3831286,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,1274.1399999999987
2007,3739069,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,4.929703089191445e-4
2007,3739069,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,1843.2499999999966
2008,NA,"Pre-2009 BiOp
(1994 to 2008)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,NA
2008,NA,"Pre-2009 BiOp
(1994 to 2008)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,total_loss,746.0199999999994
2009,617783,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,0.001956334182067163
2009,617783,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,1208.5899999999983
2010,1179633,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,8.177458582457435e-4
2010,1179633,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,total_loss,964.6400000000011
2011,332012,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,0.004422671469705922
2011,332012,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,1468.3800000000026
2012,162051,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,0.005554485933440709
2012,162051,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,total_loss,900.1100000000004
2013,532809,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,3.719907133700819e-4
2013,532809,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,198.19999999999996
2014,1196387,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,4.0496929505252064e-5
2014,1196387,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,total_loss,48.45
2016,101716,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,1.127649533996618e-4
2016,101716,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,total_loss,11.469999999999999
2018,201409,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,4.829476339190404e-4
2018,201409,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",Genetic,total_loss,97.27000000000001
2019,433176,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,Genetic,pct_total_loss,4.902395331227953e-4
2019,433176,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,Genetic,total_loss,212.35999999999999
2020,854941,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,8.998281752775923e-5
2020,854941,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",Genetic,total_loss,76.93
2021,330130,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,pct_total_loss,1.1752945809226669e-5
2021,330130,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",Genetic,total_loss,3.88
1996,338107,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.007026680902791125
1996,338107,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,total_loss,2375.769999999999
1997,165069,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.003814828950317746
1997,165069,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,total_loss,629.71
1998,138316,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.011026851557303556
1998,138316,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,total_loss,1525.1899999999987
1999,454792,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.008169163045963865
1999,454792,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,total_loss,3715.2699999999977
2000,289724,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,pct_total_loss,0.02011766370752854
2000,289724,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,total_loss,5828.569999999999
2001,370221,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.05418938958081805
2001,370221,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,20062.05000000004
2002,1864802,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.0017863183329919195
2002,1864802,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,3331.1299999999974
2003,2136747,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,pct_total_loss,0.0031901624291504837
2003,2136747,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,total_loss,6816.570000000009
2004,1896649,"Pre-2009 BiOp
(1994 to 2008)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.004101544355334068
2004,1896649,"Pre-2009 BiOp
(1994 to 2008)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,total_loss,7779.190000000004
2005,881719,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,pct_total_loss,0.0015573215502898315
2005,881719,"Pre-2009 BiOp
(1994 to 2008)",Above Normal,Above Normal,Wet & Above Normal,LAD,total_loss,1373.12
2006,3831286,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,6.789574049026877e-4
2006,3831286,"Pre-2009 BiOp
(1994 to 2008)",Wet,Wet,Wet & Above Normal,LAD,total_loss,2601.2799999999984
2007,3739069,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,8.819414672475943e-4
2007,3739069,"Pre-2009 BiOp
(1994 to 2008)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,3297.639999999995
2008,NA,"Pre-2009 BiOp
(1994 to 2008)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,pct_total_loss,NA
2008,NA,"Pre-2009 BiOp
(1994 to 2008)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,total_loss,1292.1100000000001
2009,617783,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.00245197747429113
2009,617783,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,1514.789999999997
2010,1179633,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.0014039620797315835
2010,1179633,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,total_loss,1656.160000000007
2011,332012,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.013131754273941915
2011,332012,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,total_loss,4359.900000000003
2012,162051,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.012830343533825794
2012,162051,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,total_loss,2079.1700000000037
2013,532809,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.0013733251502883789
2013,532809,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,731.7200000000008
2014,1196387,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,pct_total_loss,2.693024915850808e-4
2014,1196387,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,total_loss,322.19000000000005
2015,124521,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,pct_total_loss,8.50458958729853e-4
2015,124521,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,total_loss,105.90000000000002
2016,101716,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,pct_total_loss,5.545833497188251e-4
2016,101716,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,total_loss,56.41000000000001
2017,166189,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,6.658082063193111e-4
2017,166189,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,total_loss,110.64999999999999
2018,201409,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,pct_total_loss,0.003332274128762866
2018,201409,"2009 & 2019 BiOp
(2009 to present)",Below Normal,Below Normal,"Below Normal, Dry, & Critical",LAD,total_loss,671.1500000000001
2019,433176,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,pct_total_loss,0.0013058202670508065
2019,433176,"2009 & 2019 BiOp
(2009 to present)",Wet,Wet,Wet & Above Normal,LAD,total_loss,565.6500000000001
2020,854941,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,pct_total_loss,2.300743560081924e-4
2020,854941,"2009 & 2019 BiOp
(2009 to present)",Dry,Dry,"Below Normal, Dry, & Critical",LAD,total_loss,196.70000000000002
2021,330130,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,pct_total_loss,2.486899100354406e-5
2021,330130,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,total_loss,8.21
2022,125038,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,pct_total_loss,5.841424207041058e-4
2022,125038,"2009 & 2019 BiOp
(2009 to present)",Critical,Critical,"Below Normal, Dry, & Critical",LAD,total_loss,73.03999999999999
