brood_year,value,component,origin,JPE_letter_date,footnote,references_contributors,lower_95_CI,upper_95_CI
1992,246157,Total natural production entering the Delta,Natural,1993-02-09,NA,NA,NA,NA
1992,1092,Total Sacramento River escapement,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,546,Adult female estimate,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,519,AFE minus pre-spawn mortality,Natural,1993-02-09,NA,"CDFW, USFWS",NA,NA
1992,3353,Average fecundity,Natural,1993-02-09,NA,LSNFH,NA,NA
1992,1668859,Total eggs,Natural,1993-02-09,NA,"CDFW, LSNFH, USFWS",NA,NA
1992,0.25,Estimated egg-to-fry survival rate,Natural,1993-02-09,NA,"CDFW, LSNFH, USFWS",NA,NA
1992,0.59,Fry-to-smolt survival,Natural,1993-02-09,NA,NA,NA,NA
1992,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1992,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1992,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1992,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,27000,LSNFH Hatchery release,Hatchery,1993-02-09,NA,LSNFH,NA,NA
1992,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1992,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1992,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1992,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1992,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1993,66536,Total natural production entering the Delta,Natural,1993-10-01,NA,NA,NA,NA
1993,271,Total Sacramento River escapement,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,135,Adult female estimate,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,129,AFE minus pre-spawn mortality,Natural,1993-10-01,NA,"CDFW, USFWS",NA,NA
1993,3500,Average fecundity,Natural,1993-10-01,NA,LSNFH,NA,NA
1993,451092,Total eggs,Natural,1993-10-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1993,0.25,Estimated egg-to-fry survival rate,Natural,1993-10-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1993,0.59,Fry-to-smolt survival,Natural,1993-10-01,NA,NA,NA,NA
1993,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1993,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1993,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1993,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,23500,LSNFH Hatchery release,Hatchery,1993-10-01,NA,LSNFH,NA,NA
1993,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1993,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1993,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1993,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1993,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1994,31491,Total natural production entering the Delta,Natural,1995-02-21,NA,NA,NA,NA
1994,129,Total Sacramento River escapement,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,64,Adult female estimate,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,61,AFE minus pre-spawn mortality,Natural,1995-02-21,NA,"CDFW, USFWS",NA,NA
1994,3500,Average fecundity,Natural,1995-02-21,NA,LSNFH,NA,NA
1994,213500,Total eggs,Natural,1995-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
1994,0.25,Estimated egg-to-fry survival rate,Natural,1995-02-21,NA,"CDFW, LSNFH, USFWS",NA,NA
1994,0.59,Fry-to-smolt survival,Natural,1995-02-21,NA,NA,NA,NA
1994,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1994,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1994,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1994,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,43000,LSNFH Hatchery release,Hatchery,1995-02-21,NA,LSNFH,NA,NA
1994,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1994,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1994,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1994,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1994,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1994,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1994,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1995,338107,Total natural production entering the Delta,Natural,1995-10-20,NA,NA,NA,NA
1995,1251,Total Sacramento River escapement,Natural,1995-10-20,NA,"CDFW, USFWS",NA,NA
1995,625,Adult female estimate,Natural,1995-10-20,NA,"CDFW, USFWS",NA,NA
1995,594,AFE minus pre-spawn mortality,Natural,1995-10-20,NA,"CDFW, USFWS",NA,NA
1995,3859,Average fecundity,Natural,1995-10-20,NA,LSNFH,NA,NA
1995,2292246,Total eggs,Natural,1995-10-20,NA,"CDFW, LSNFH, USFWS",NA,NA
1995,0.25,Estimated egg-to-fry survival rate,Natural,1995-10-20,NA,"CDFW, LSNFH, USFWS",NA,NA
1995,0.59,Fry-to-smolt survival,Natural,1995-10-20,NA,NA,NA,NA
1995,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1995,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1995,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1995,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1995,60000,LSNFH Hatchery release,Hatchery,1995-10-20,NA,LSNFH,NA,NA
1995,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1995,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1995,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1995,6762,Natural Incidental Take Limit,Natural,1995-10-20,NA,NA,NA,NA
1995,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1995,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1995,1200,LSNFH Incidental Take Limit,Natural,1995-10-20,NA,NA,NA,NA
1995,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1996,165069,Total natural production entering the Delta,Natural,1997-02-10,NA,NA,NA,NA
1996,611,Total Sacramento River escapement,Natural,1997-02-10,NA,"CDFW, USFWS",NA,NA
1996,305,Adult female estimate,Natural,1997-02-10,NA,"CDFW, USFWS",NA,NA
1996,290,AFE minus pre-spawn mortality,Natural,1997-02-10,NA,"CDFW, USFWS",NA,NA
1996,3859,Average fecundity,Natural,1997-02-10,NA,LSNFH,NA,NA
1996,1119110,Total eggs,Natural,1997-02-10,NA,"CDFW, LSNFH, USFWS",NA,NA
1996,0.25,Estimated egg-to-fry survival rate,Natural,1997-02-10,NA,"CDFW, LSNFH, USFWS",NA,NA
1996,0.59,Fry-to-smolt survival,Natural,1997-02-10,NA,NA,NA,NA
1996,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1996,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1996,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1996,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1996,5000,LSNFH Hatchery release,Hatchery,1997-02-10,"2/ Approximately 5,000 juveniles from the Livingston Stone winter-run chinook program were released in the upper Sacramento River during January and Febuarry 1997. All hatchery fish are marked with an adipose fin clip and CWT.",LSNFH,NA,NA
1996,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1996,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1996,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1996,3301,Natural Incidental Take Limit,Natural,1997-02-10,NA,NA,NA,NA
1996,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1996,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1996,100,LSNFH Incidental Take Limit,Natural,1997-02-10,NA,NA,NA,NA
1996,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1997,138316,Total natural production entering the Delta,Natural,1998-04-27,NA,NA,NA,NA
1997,480,Total Sacramento River escapement,Natural,1998-04-27,NA,"CDFW, USFWS",NA,NA
1997,240,Adult female estimate,Natural,1998-04-27,NA,"CDFW, USFWS",NA,NA
1997,228,AFE minus pre-spawn mortality,Natural,1998-04-27,NA,"CDFW, USFWS",NA,NA
1997,3859,Average fecundity,Natural,1998-04-27,NA,LSNFH,NA,NA
1997,879852,Total eggs,Natural,1998-04-27,NA,"CDFW, LSNFH, USFWS",NA,NA
1997,0.25,Estimated egg-to-fry survival rate,Natural,1998-04-27,NA,"CDFW, LSNFH, USFWS",NA,NA
1997,0.59,Fry-to-smolt survival,Natural,1998-04-27,NA,NA,NA,NA
1997,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1997,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1997,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1997,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1997,42000,LSNFH Hatchery release,Hatchery,1998-04-27,"2/ Approximately 40,000 juveniles from the Livingston Stone winter-run chinook program were released in the upper Sacramento River during March 1998. All hatchery fish are marked with an adipose fin clip and CWT.",LSNFH,NA,NA
1997,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1997,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1997,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1997,2766,Natural Incidental Take Limit,Natural,1998-04-27,NA,NA,NA,NA
1997,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1997,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1997,840,LSNFH Incidental Take Limit,Natural,1998-04-27,NA,NA,NA,NA
1997,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1998,454792,Total natural production entering the Delta,Natural,1999-02-26,NA,NA,NA,NA
1998,1682,Total Sacramento River escapement,Natural,1999-02-26,NA,"CDFW, USFWS",NA,NA
1998,841,Adult female estimate,Natural,1999-02-26,NA,"CDFW, USFWS",NA,NA
1998,799,AFE minus pre-spawn mortality,Natural,1999-02-26,NA,"CDFW, USFWS",NA,NA
1998,3859,Average fecundity,Natural,1999-02-26,NA,LSNFH,NA,NA
1998,3083341,Total eggs,Natural,1999-02-26,NA,"CDFW, LSNFH, USFWS",NA,NA
1998,0.25,Estimated egg-to-fry survival rate,Natural,1999-02-26,NA,"CDFW, LSNFH, USFWS",NA,NA
1998,0.59,Fry-to-smolt survival,Natural,1999-02-26,NA,NA,NA,NA
1998,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1998,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1998,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1998,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1998,154000,LSNFH Hatchery release,Hatchery,1999-02-26,"2/ Approximately 154,000 juveniles from the Livingston Stone winter-run chinook program were released in the upper Sacramento River on January 28, 1999. All hatchery fish are marked with an adipose fin clip and CWT.",LSNFH,NA,NA
1998,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1998,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1998,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1998,9095,Natural Incidental Take Limit,Natural,1999-02-26,NA,NA,NA,NA
1998,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1998,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1998,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1998,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1999,289724,Total natural production entering the Delta,Natural,2000-01-01,NA,NA,NA,NA
1999,1072,Total Sacramento River escapement,Natural,2000-01-01,NA,"CDFW, USFWS",NA,NA
1999,536,Adult female estimate,Natural,2000-01-01,NA,"CDFW, USFWS",NA,NA
1999,509,AFE minus pre-spawn mortality,Natural,2000-01-01,NA,"CDFW, USFWS",NA,NA
1999,3859,Average fecundity,Natural,2000-01-01,NA,LSNFH,NA,NA
1999,1964231,Total eggs,Natural,2000-01-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1999,0.25,Estimated egg-to-fry survival rate,Natural,2000-01-01,NA,"CDFW, LSNFH, USFWS",NA,NA
1999,0.59,Fry-to-smolt survival,Natural,2000-01-01,NA,NA,NA,NA
1999,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
1999,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
1999,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
1999,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1999,30000,LSNFH Hatchery release,Hatchery,2000-01-01,"2/ Approximately 32,000 juveniles from the Livingston Stone winter-run chinook program were released in the upper Sacramento River on January 27, 2000. All hatchery fish are marked with an adipose fin clip and CWT.",LSNFH,NA,NA
1999,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1999,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
1999,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
1999,5794,Natural Incidental Take Limit,Natural,2000-01-01,NA,NA,NA,NA
1999,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1999,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
1999,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
1999,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2000,370221,Total natural production entering the Delta,Natural,2001-01-29,NA,NA,NA,NA
2000,1059,Total Sacramento River escapement,Natural,2001-01-29,NA,"CDFW, USFWS",NA,NA
2000,529,Adult female estimate,Natural,2001-01-29,NA,"CDFW, USFWS",NA,NA
2000,503,AFE minus pre-spawn mortality,Natural,2001-01-29,NA,"CDFW, USFWS",NA,NA
2000,4990,Average fecundity,Natural,2001-01-29,3/ Average number of eggs per female derived from this year's spawning at Livingston Stone Hatchery (n=44),LSNFH,NA,NA
2000,2509970,Total eggs,Natural,2001-01-29,NA,"CDFW, LSNFH, USFWS",NA,NA
2000,0.25,Estimated egg-to-fry survival rate,Natural,2001-01-29,NA,"CDFW, LSNFH, USFWS",NA,NA
2000,0.59,Fry-to-smolt survival,Natural,2001-01-29,NA,NA,NA,NA
2000,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
2000,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2000,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2000,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2000,166000,LSNFH Hatchery release,Hatchery,2001-01-29,4/ All hatchery released winter-run chinook marked with an adipose fin clip and CWT.,LSNFH,NA,NA
2000,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2000,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2000,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2000,7404,Natural Incidental Take Limit,Natural,2001-01-29,NA,NA,NA,NA
2000,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2000,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2000,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2000,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2001,1864802,Total natural production entering the Delta,Natural,2002-02-22,NA,NA,NA,NA
2001,7572,Total Sacramento River escapement,Natural,2002-02-22,"1/ Based on DFG carcass survey (Jolly-Seber model), includes hatchery and grilse","CDFW, USFWS",NA,NA
2001,4876,Adult female estimate,Natural,2002-02-22,"2/ Based on observed grilse and sex ratio, DFG carcass survey 2001","CDFW, USFWS",NA,NA
2001,4828,AFE minus pre-spawn mortality,Natural,2002-02-22,"3/ Estimated mortality up to 1% from fresh carcass observations, DFG carcass survey 2001","CDFW, USFWS",NA,NA
2001,4700,Average fecundity,Natural,2002-02-22,4/ Average fecundity rate from 2001 spawning at Livingston Stone Hatchery (n=50),LSNFH,NA,NA
2001,22576291,Total eggs,Natural,2002-02-22,NA,"CDFW, LSNFH, USFWS",NA,NA
2001,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2001,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2001,0.56,Estimated smolt survival term,Natural,2002-02-22,"7/ Based on ocean recoveries of paired CWT releases from Battle Cr, 1994-1999 (FWS 2002, unpublished)",NA,NA,NA
2001,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2001,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2001,NA,Total LSNFH production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2001,252684,LSNFH Hatchery release,Hatchery,2002-02-22,8/ All hatchery released winter-run chinook marked with an adipose fin clip and CWT.,LSNFH,NA,NA
2001,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2001,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2001,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2001,NA,Natural Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2001,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2001,NA,LSNFH Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2001,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2001,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2002,2136747,Total natural production entering the Delta,Natural,2003-02-19,NA,NA,NA,NA
2002,7337,Total Sacramento River escapement,Natural,2003-02-19,"1/ 2002 CDFG Carcass Survey (Jolly-Seber) Estimate from 1/24/03, includes hatchery returns and grilse.","CDFW, USFWS",NA,NA
2002,5745,Adult female estimate,Natural,2003-02-19,2/ 2002 CDFG Carcass Survey observed proportion of adult females.,"CDFW, USFWS",NA,NA
2002,5670,AFE minus pre-spawn mortality,Natural,2003-02-19,3/ 2002 CDFG Carcass Survey estimated spawning success from fresh carcass observations (0.987).,"CDFW, USFWS",NA,NA
2002,4923,Average fecundity,Natural,2003-02-19,"4/ Number of eggs per adult female at LSNFH, broodyear 2002 records (n=47).",LSNFH,NA,NA
2002,27858505,Total eggs,Natural,2003-02-19,NA,"CDFW, LSNFH, USFWS",NA,NA
2002,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2002,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2002,0.52,Estimated smolt survival term,Natural,2003-02-19,"7/ Average of ocean recoveries of paired Late-Fall Chinook from Coleman National Fish Hatchery released at Battle Cr. and Delta locations from 1994-99 (USFWS 2003, unpubl.)",NA,NA,NA
2002,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2002,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2002,121617,Total LSNFH production entering the Delta,Hatchery,2003-02-19,NA,NA,NA,NA
2002,233879,LSNFH Hatchery release,Hatchery,2003-02-19,8/ All hatchery origin winter-run juveniles are marked with an adipose fin clip and a CWT.,LSNFH,NA,NA
2002,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2002,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2002,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2002,42735,Natural Incidental Take Limit,Natural,2003-02-19,NA,NA,NA,NA
2002,NA,Natural Genetic Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2002,1216,LSNFH Incidental Take Limit,Hatchery,2003-02-19,NA,NA,NA,NA
2002,NA,LSNFH Incidental Take Limit,Natural,NA,NA,NA,NA,NA
2002,NA,Jumpstart Incidental Take Limit,Hatchery,NA,NA,NA,NA,NA
2003,1896649,Total natural production entering the Delta,Natural,2004-01-21,NA,NA,NA,NA
2003,NA,Total Sacramento River escapement,Natural,NA,NA,NA,NA,NA
2003,NA,Adult female estimate,Natural,NA,NA,NA,NA,NA
2003,NA,AFE minus pre-spawn mortality,Natural,NA,NA,NA,NA,NA
2003,NA,Average fecundity,Natural,NA,NA,NA,NA,NA
2003,NA,Total eggs,Natural,NA,NA,NA,NA,NA
2003,NA,Estimated egg-to-fry survival rate,Natural,NA,NA,NA,NA,NA
2003,NA,Fry-to-smolt survival,Natural,NA,NA,NA,NA,NA
2003,NA,Estimated smolt survival term,Natural,NA,NA,NA,NA,NA
2003,NA,Number of smolts at RBDD,Natural,NA,NA,NA,NA,NA
2003,NA,Fry equivalents of juvenile production at RBDD,Natural,NA,NA,NA,NA,NA
2003,114400,Total LSNFH production entering the Delta,Hatchery,2004-01-21,NA,NA,NA,NA
2003,220000,LSNFH Hatchery release,Hatchery,2004-01-21,NA,LSNFH,NA,NA
2003,NA,Total Jumpstart production entering the Delta,Hatchery,NA,NA,NA,NA,NA
2003,NA,Battle Creek Hatchery release,Hatchery,NA,NA,NA,NA,NA
2003,NA,Total hatchery production entering the Delta,Hatchery,NA,NA,NA,NA,NA
