brood_year,first_passage_date,x5_percent_passage_date,x10_percent_passage_date,x25_percent_passage_date,x50_percent_passage_date,x75_percent_passage_date,x90_percent_passage_date,x95_percent_passage_date,last_passage_date,duration_middle80_percent_days,duration_middle50_percent_days,duration_middle90_percent_days,run_size,today_7_1_percent,sacramento_valley_reconstructed_water_year_hci_value,sacramento_valley_reconstructed_water_year_hci_classification,Survey
Average (2013 - 2021),09/28,10/20,11/16,12/07,12/19,12/29,01/18,02/03,03/24,65,23,108.2,160.7,22.2%,NA,NA,Tisdale Weir
Median (2013 - 2021),09/29,10/23,11/20,12/03,12/10,12/21,01/18,02/15,03/22,77,17,116,83,100.0%,NA,NA,Tisdale Weir
2021,09/12/2021,09/29/2021,10/13/2021,10/28/2021,11/08/2021,11/13/2021,11/27/2021,12/29/2021,04/03/2022,46,17,92,210,0.0%,3.8,Critical,Tisdale Weir
2020,09/30/2020,10/24/2020,12/31/2020,01/30/2021,02/03/2021,02/06/2021,02/15/2021,02/16/2021,03/20/2021,47,8,116,61,0.0%,6.12,Dry,Tisdale Weir
2019,09/16/2019,10/25/2019,12/10/2019,12/10/2019,12/10/2019,12/11/2019,12/12/2019,12/16/2019,03/02/2020,3,2,53,508,100.0%,10.34,Wet,Tisdale Weir
2018,10/12/2018,12/03/2018,12/03/2018,12/03/2018,12/03/2018,12/03/2018,12/27/2018,02/05/2019,03/25/2019,25,1,66,217,0.0%,7.14,Below Normal,Tisdale Weir
2017,09/29/2017,10/10/2017,11/20/2017,11/24/2017,01/12/2018,01/29/2018,02/08/2018,02/19/2018,03/06/2018,82,68,134,50,0.0%,14.14,Wet,Tisdale Weir
2016,09/10/2016,10/05/2016,10/08/2016,11/04/2016,11/23/2016,12/02/2016,02/07/2017,02/20/2017,03/22/2017,123,29,139,83,0.0%,6.71,Below Normal,Tisdale Weir
2015,09/21/2015,09/29/2015,10/09/2015,12/15/2015,12/18/2015,12/26/2015,01/18/2016,01/27/2016,03/31/2016,103,12,122,53,100.0%,4,Critical,Tisdale Weir
2014,10/31/2014,10/31/2014,10/31/2014,10/31/2014,10/31/2014,12/21/2014,01/14/2015,02/15/2015,03/17/2015,77,52,109,199,0.0%,4.07,Critical,Tisdale Weir
2013,10/01/2013,10/23/2013,12/21/2013,02/12/2014,03/01/2014,03/01/2014,03/08/2014,03/13/2014,04/30/2014,79,18,143,65,0.0%,5.83,Dry,Tisdale Weir
Average (2012 - 2021),09/24,11/06,11/12,12/05,12/16,01/01,01/20,02/02,03/14,71,27.7,89.2,261.3,20.0%,NA,NA,Knights Landing
Median (2012 - 2021),09/24,10/29,10/29,11/30,12/05,12/20,01/19,02/04,03/27,61,22,96,188.5,100.0%,NA,NA,Knights Landing
2021,09/29/2021,10/28/2021,10/28/2021,10/29/2021,11/06/2021,11/16/2021,12/29/2021,12/30/2021,03/19/2022,63,19,64,204,0.0%,3.8,Critical,Knights Landing
2020,09/22/2020,09/30/2020,10/10/2020,12/23/2020,02/05/2021,02/07/2021,02/18/2021,02/27/2021,02/28/2021,132,47,151,29,0.0%,6.12,Dry,Knights Landing
2019,09/06/2019,10/01/2019,10/21/2019,12/11/2019,12/11/2019,12/12/2019,12/18/2019,01/31/2020,04/03/2020,59,2,124,427,100.0%,10.34,Wet,Knights Landing
2018,09/24/2018,12/03/2018,12/03/2018,12/04/2018,12/06/2018,12/20/2018,01/18/2019,02/22/2019,04/01/2019,48,17,83,308,0.0%,7.14,Below Normal,Knights Landing
2017,09/15/2017,09/28/2017,10/05/2017,11/20/2017,11/25/2017,01/12/2018,01/29/2018,02/08/2018,03/25/2018,118,55,135,64,0.0%,14.14,Wet,Knights Landing
2016,08/30/2016,09/16/2016,10/04/2016,11/04/2016,11/26/2016,12/17/2016,01/16/2017,01/26/2017,03/29/2017,105,44,133,183,0.0%,6.71,Below Normal,Knights Landing
2015,09/24/2015,12/15/2015,12/16/2015,12/24/2015,01/07/2016,01/16/2016,01/20/2016,01/28/2016,03/09/2016,37,25,46,54,100.0%,4,Critical,Knights Landing
2014,10/09/2014,10/31/2014,10/31/2014,10/31/2014,11/01/2014,12/20/2014,02/13/2015,02/15/2015,04/11/2015,107,51,109,194,0.0%,4.07,Critical,Knights Landing
2013,10/04/2013,02/12/2014,02/14/2014,03/02/2014,03/03/2014,03/07/2014,03/12/2014,03/13/2014,04/02/2014,27,6,30,146,0.0%,5.83,Dry,Knights Landing
2012,10/16/2012,11/24/2012,11/25/2012,11/26/2012,12/03/2012,12/06/2012,12/08/2012,12/10/2012,12/14/2012,14,11,17,1004,0.0%,6.89,Below Normal,Knights Landing
Average (2012 - 2021),12/20,12/22,12/31,01/08,01/26,02/16,03/04,03/10,03/25,65.3,40.1,80.3,50.8,20.0%,NA,NA,Sac Trawls
Median (2012 - 2021),12/07,12/08,12/22,01/01,02/17,03/12,03/22,03/31,04/10,65,29.5,67,46,100.0%,NA,NA,Sac Trawls
2021,10/27/2021,10/27/2021,10/27/2021,10/27/2021,10/29/2021,11/10/2021,12/26/2021,12/27/2021,02/23/2022,61,15,62,21,0.0%,3.8,Critical,Sac Trawls
2020,02/08/2021,02/08/2021,02/08/2021,02/26/2021,03/14/2021,04/29/2021,04/29/2021,04/29/2021,04/29/2021,81,63,81,5,0.0%,6.12,Dry,Sac Trawls
2019,12/12/2019,12/12/2019,12/12/2019,12/12/2019,12/13/2019,01/30/2020,01/31/2020,02/06/2020,03/17/2020,52,51,58,74,100.0%,10.34,Wet,Sac Trawls
2018,12/03/2018,12/05/2018,12/20/2018,01/10/2019,02/19/2019,04/01/2019,04/11/2019,04/14/2019,04/17/2019,114,82,132,106.2,0.0%,7.14,Below Normal,Sac Trawls
2017,01/13/2018,01/13/2018,01/15/2018,02/11/2018,03/15/2018,03/20/2018,03/24/2018,03/25/2018,03/25/2018,69,38,72,16,0.0%,14.14,Wet,Sac Trawls
2016,03/03/2017,03/14/2017,03/17/2017,03/22/2017,03/30/2017,04/04/2017,04/08/2017,04/10/2017,04/21/2017,23,14,28,106.6,0.0%,6.71,Below Normal,Sac Trawls
2015,11/06/2015,11/06/2015,12/24/2015,12/24/2015,03/16/2016,03/25/2016,04/01/2016,04/22/2016,04/22/2016,101,94,170,13,100.0%,4,Critical,Sac Trawls
2014,11/05/2014,11/05/2014,11/28/2014,12/08/2014,12/08/2014,12/22/2014,03/20/2015,04/06/2015,04/17/2015,114,15,154,20,0.0%,4.07,Critical,Sac Trawls
2013,02/09/2014,02/12/2014,02/12/2014,02/13/2014,02/15/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,27,21,31,71,0.0%,5.83,Dry,Sac Trawls
2012,11/23/2012,11/23/2012,11/23/2012,11/26/2012,11/26/2012,12/03/2012,12/03/2012,12/07/2012,12/07/2012,11,8,15,74.8,0.0%,6.89,Below Normal,Sac Trawls
